pgroup	count	dist	50	75	90	95	99
0	499950	3.655	2.373	2.910	3.440	3.820	5.725
1	499950	5.420	3.186	3.775	4.711	5.797	8.729
2	499950	8.101	3.992	5.118	6.611	8.407	12.897
3	499950	9.731	3.947	4.881	6.241	7.956	15.636
4	499950	10.588	3.785	4.595	5.697	6.757	11.228
5	499950	11.235	3.992	4.820	5.828	6.832	10.543
6	499950	11.790	4.113	5.013	6.166	7.039	10.030
7	499950	12.261	4.256	5.235	6.453	7.281	9.981
8	499950	12.681	4.448	5.406	6.601	7.373	10.154
9	499950	13.059	4.567	5.565	6.828	7.529	10.457
10	499950	13.420	4.609	5.740	7.013	7.680	10.992
11	499950	13.773	4.629	5.901	7.148	7.805	11.381
12	499950	14.118	4.595	5.948	7.187	7.906	11.955
13	499950	14.445	4.516	5.938	7.194	8.008	11.899
14	499950	14.731	4.431	5.761	7.107	7.961	11.775
15	499950	14.992	4.377	5.569	6.980	7.833	11.430
16	499950	15.210	4.291	5.374	6.847	7.694	11.459
17	499950	15.420	4.205	5.290	6.775	7.593	11.227
18	499950	15.622	4.154	5.243	6.738	7.531	11.096
19	499950	15.815	4.162	5.260	6.773	7.561	11.143
20	499950	16.017	4.206	5.304	6.795	7.586	11.170
21	499950	16.218	4.273	5.351	6.839	7.639	11.166
22	499950	16.420	4.332	5.390	6.884	7.717	11.544
23	499950	16.630	4.376	5.422	6.916	7.786	12.061
24	499950	16.832	4.420	5.460	6.940	7.856	12.431
25	499950	17.025	4.464	5.481	6.968	7.917	12.531
26	499950	17.227	4.483	5.446	6.967	7.940	12.794
27	499950	17.420	4.486	5.414	6.987	7.981	12.629
28	499951	17.613	4.467	5.372	7.017	8.051	12.895
29	499949	17.798	4.432	5.341	7.018	8.080	13.104
30	499950	17.983	4.396	5.309	7.009	8.091	13.488
31	499950	18.160	4.372	5.294	7.066	8.158	14.008
32	499950	18.336	4.330	5.260	7.067	8.147	14.109
33	499950	18.513	4.289	5.229	7.085	8.174	14.162
34	499950	18.681	4.243	5.172	7.079	8.153	14.108
35	499950	18.840	4.209	5.122	7.048	8.135	14.024
36	499950	19.000	4.182	5.076	6.992	8.093	13.916
37	499950	19.160	4.157	5.035	6.957	8.127	13.913
38	499950	19.311	4.126	4.989	6.926	8.080	13.830
39	499950	19.454	4.108	4.962	6.921	8.071	13.885
40	499950	19.597	4.092	4.953	6.918	8.047	13.793
41	499950	19.731	4.076	4.929	6.857	8.014	13.932
42	499950	19.874	4.066	4.910	6.825	7.994	14.170
43	499950	20.008	4.051	4.881	6.741	7.943	13.919
44	499950	20.134	4.038	4.852	6.655	7.908	14.055
45	499950	20.269	4.042	4.852	6.615	7.881	13.975
46	499950	20.395	4.043	4.864	6.612	7.890	13.913
47	499950	20.529	4.044	4.857	6.572	7.888	13.896
48	499950	20.655	4.049	4.863	6.556	7.881	13.827
49	499950	20.782	4.041	4.855	6.501	7.846	13.799
50	499950	20.916	4.032	4.853	6.477	7.854	13.879
