pgroup	count	dist	50	75	90	95	99
0	199	7.375	1.646	2.202	3.176	4.741	7.399
1	199	9.408	2.426	3.232	3.887	4.098	5.451
2	199	10.858	2.490	3.272	3.746	4.097	5.823
3	199	12.317	2.518	3.088	3.648	4.015	4.618
4	199	13.983	2.401	3.013	3.512	4.227	5.668
5	199	15.183	2.471	3.069	3.777	4.538	9.019
6	199	16.158	2.606	3.118	4.010	4.194	9.734
7	199	16.950	2.585	3.077	3.872	4.724	9.204
8	199	17.592	2.254	2.770	3.311	3.858	5.345
9	199	18.167	2.248	2.782	3.493	4.256	6.520
10	199	18.642	2.586	3.128	3.654	4.447	5.634
11	199	19.033	2.559	3.201	3.901	4.382	5.318
12	199	19.317	2.847	3.524	4.080	4.236	4.962
13	199	19.600	2.599	3.206	3.735	4.404	6.057
14	199	19.842	2.584	3.110	3.722	4.249	5.537
15	199	20.042	2.385	3.108	3.976	4.548	5.212
16	199	20.208	2.539	3.166	4.091	4.799	5.997
17	199	20.375	2.515	3.125	3.746	4.267	5.121
18	199	20.533	2.427	3.028	3.605	4.104	4.962
19	199	20.658	2.583	3.231	3.929	4.658	5.272
20	199	20.800	2.528	3.258	3.954	4.429	6.062
21	199	20.908	2.441	3.207	4.159	4.567	5.965
22	199	21.025	2.439	3.090	3.670	4.565	6.221
23	199	21.142	2.321	3.212	3.942	4.530	8.527
24	199	21.250	2.406	2.894	3.677	4.173	5.165
25	199	21.375	2.385	3.114	3.676	3.977	5.432
26	199	21.483	2.510	3.138	3.875	4.664	5.126
27	199	21.575	2.426	3.167	3.764	4.257	5.117
28	200	21.675	2.281	3.031	3.716	4.413	4.965
29	198	21.783	2.545	3.076	3.915	4.664	5.827
30	199	21.900	2.494	3.269	4.105	4.488	8.446
31	199	22.000	2.562	3.151	4.096	4.426	5.571
32	199	22.100	2.745	3.282	3.951	4.316	4.747
33	199	22.200	2.531	3.288	3.949	4.379	6.071
34	199	22.283	2.356	3.215	3.633	4.357	8.242
35	199	22.383	2.630	3.497	4.095	4.713	6.483
36	199	22.467	2.500	3.148	3.825	4.212	5.802
37	199	22.558	2.386	2.977	3.687	4.089	7.269
38	199	22.658	2.558	3.401	4.051	4.425	5.830
39	199	22.758	2.410	3.144	3.784	4.156	5.631
40	199	22.858	2.509	3.422	4.064	4.331	5.418
41	199	22.933	2.565	3.401	4.145	4.539	5.541
42	199	23.033	2.370	3.287	4.006	4.245	5.759
43	199	23.117	2.664	3.304	3.927	4.377	4.964
44	199	23.208	2.234	3.080	3.709	4.250	6.033
45	199	23.308	2.609	3.426	4.006	4.512	5.430
46	199	23.383	2.392	3.318	4.031	4.799	7.774
47	199	23.475	2.484	3.297	4.288	5.183	7.695
48	199	23.550	2.273	3.044	3.589	3.825	5.750
49	199	23.650	2.428	3.428	4.311	5.021	6.643
50	199	23.758	2.387	3.402	4.071	4.492	19.630
51	199	23.850	2.218	2.840	3.644	4.598	7.399
52	199	23.967	2.627	3.459	4.251	4.807	5.854
53	199	24.058	2.438	3.443	4.566	4.820	6.285
54	199	24.175	2.422	3.310	4.221	4.921	7.988
55	199	24.283	2.389	3.262	4.269	4.738	5.834
56	200	24.375	2.326	3.150	3.976	4.694	7.130
57	199	24.475	2.335	3.566	4.257	4.925	7.671
58	198	24.600	2.174	3.191	4.112	5.035	7.227
59	199	24.717	2.356	3.236	4.009	4.404	8.127
60	199	24.842	2.486	3.531	4.305	4.995	7.464
61	199	24.958	2.423	3.435	4.219	4.954	7.659
62	199	25.092	2.645	3.411	4.413	4.840	5.734
63	199	25.225	2.549	3.792	4.829	5.396	8.146
64	199	25.358	2.508	3.039	4.073	4.376	6.093
65	199	25.500	2.407	3.319	4.570	4.914	8.326
66	199	25.650	2.685	3.361	4.414	5.065	7.552
67	199	25.792	2.563	3.417	4.220	5.104	9.588
68	199	25.958	2.406	3.358	4.448	4.934	7.957
69	199	26.133	2.350	3.278	4.642	5.270	8.851
70	199	26.317	2.413	3.005	4.191	4.840	8.377
71	199	26.458	2.391	3.014	4.007	4.819	9.135
72	199	26.642	2.491	3.059	3.764	4.430	8.084
